RTT	Window	ACK
7086	102.325155211	631
7074	102.655304845	631
7062	102.985257411	632
7052	103.285726074	633
7089	102.898982709	634
7105	102.817992293	634
7092	103.156215742	635
7081	103.465206681	636
7076	103.685934535	636
7065	103.994000199	637
7009	104.97147089	638
7036	104.71348075	639
7008	52.8543661226	640
6931	54.6880143403	640
6869	56.4106783555	641
6839	57.8656725974	642
6767	59.6762795774	643
6735	61.1363804719	644
6704	62.5783356392	644
6610	64.6222138173	645
6526	66.6019456268	646
6458	68.4432702452	647
6427	69.8998521084	647
6349	71.8805150622	648
6328	73.2271260931	649
6257	75.1617411705	650
6243	76.4202098241	650
6164	78.4877807473	651
6091	80.5143657851	652
6025	82.4793551	652
6012	83.7288004149	653
5952	85.6408947513	654
5925	87.0906974179	655
5893	88.6159483755	655
5814	90.8740182951	656
5747	92.9873378451	656
5682	95.1049409318	657
5657	96.5720283507	657
5624	98.1802038391	658
5595	99.7249027049	658
5666	99.4874691572	659
5679	100.259344771	660
5746	100.06840203	660
5792	100.234517065	661
5794	101.151235466	661
5863	100.89209526	662
5864	101.797416701	662
5916	101.808776848	663
5964	101.880228774	664
6010	101.976736868	665
6001	102.99973962	666
6077	102.563531548	666
6082	103.323367647	667
6131	103.32815476	668
6147	103.88094679	669
6219	103.484078673	669
6222	104.233328317	670
6339	103.087857762	671
6336	103.909538467	672
6401	103.613703849	672
6402	104.351168535	673
6470	103.994775467	674
6491	104.391020378	675
6570	103.854588847	675
6579	104.425368347	676
6631	104.308902593	677
6681	104.22074558	678
6730	104.144803769	679
6755	104.435251454	679
6808	104.288509133	680
6891	103.686436909	681
6921	103.884102421	681
7017	103.097137086	682
7035	103.462113285	683
7113	102.945654603	684
7141	103.153972665	684
7273	101.879096734	685
7294	102.177865825	686
7303	102.639875498	687
7390	102.009211602	688
7409	102.320550801	688
7478	101.940903864	689
7488	102.365361103	690
7560	101.942669333	690
7490	103.449762617	690
7425	104.911597804	690
7384	106.050461777	690
7290	107.978471249	690
7245	109.210253532	690
7179	110.777633602	690
7081	112.879029654	690
7156	112.255440194	691
7162	112.717606557	692
7222	112.330020664	693
7287	111.869349784	694
7309	112.069695951	694
7332	112.250961754	695
7371	112.184527446	696
7417	112.010512387	697
7453	111.986282458	698
